item_id,truck_type,year,make,model,category,sale_price_usd_including_buyer_premium,winning_bid_usd,buyer_premium_rate,sale_date_utc,bid_count,city,state,vin,mileage,engine_hours,engine,displacement,fuel_type,transmission,axles,suspension,brakes,gvwr,wheelbase,full_description,downloaded_image_count,available_image_count,image_paths,source,source_url
FN2019,box_truck,2021,GMC,Savana,Box Truck,17050.0,15500.0,0.1,2026-09-03,50,Birmingham,AL,7GZ37TC76MN008506,87941,,,6.6L,Gas,,Single,Spring,Hydraulic,"12,300 lbs",,"2021 GMC Savana box truck
- Miles: 87,941 on odometer
- VIN: 7GZ37TC76MN008506
Engine- Displacement: 6.6L
- Cylinders: 8
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 12,300 lbs
Interior- AC, Heat
- Heated mirrors
- Power windows, Power locks
- Cruise control
- Backup camera
Features- Bed- Box bed
- Supreme FLEET16
- Serial: L0402952
- Length: 16' 11""
- Width: 8'
- Height: 8'
- Floor: Wood
- Slider ramp 24""

Tires- Size: 225/75R16
Notes- Windshield chipped or cracked
Alabama title
Title distribution may be delayed up to 14 days from verification of funds.",6,69,images/FN2019/FN2019.JPG|images/FN2019/FN2019N.JPG|images/FN2019/FN2019ZA.JPG|images/FN2019/FN2019ZO.JPG|images/FN2019/FN2019ZZB.JPG|images/FN2019/FN2019ZZP.JPG,Purple Wave,https://www.purplewave.com/auction/260903/item/FN2019
YA2016,box_truck,2019,Freightliner,Business Class M2,Box Truck,30250.0,27500.0,0.1,2026-09-03,17,Spartanburg,SC,3ALACWFC7KDKN1791,201232,6061,,6.7L,Diesel,,Single,Air,Air,"26,000 lbs",,"2019 Freightliner Business Class M2 box truck
- Miles: 201,232 on odometer
- Hours: 6,061 on meter
- VIN: 3ALACWFC7KDKN1791
- Unit #: 73247805
Engine- Cummins B6.7
- Serial: 22166581
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Allison
- Automatic
Chassis- Axles: Single
- Suspension: Air
- Brakes: Air
- GVWR: 26,000 lbs
Interior- AC, Heat
- Power windows, Power locks
- Cruise control
Features- Bed- Box bed
- Morgan GVSD10926102
- Serial: MPD050008-0020
- Length: 26'
- Width: 102""
- Height: 114""
- E-track rail system
- Floor: Wood
- Slider ramp
- End gate lift
- Maxon

Tires- Size: 295/75R22.5
Notes- Jump start required during on-site data collection
Repossessed item, stored at a secured facility 
Please review REQUIRED REMOVAL INSTRUCTIONS
Titles will be distributed after confirmation of payment and removal.
South Carolina title
Title distribution may be delayed up to 30 days from verification of funds.",6,115,images/YA2016/YA2016.JPG|images/YA2016/YA2016W.JPG|images/YA2016/YA2016ZT.JPG|images/YA2016/YA2016ZZP.JPG|images/YA2016/YA2016ZZZM.JPG|images/YA2016/YA2016ZZZZJ.JPG,Purple Wave,https://www.purplewave.com/auction/260903/item/YA2016
MZ9828,box_truck,1998,GMC,C6500,Box Truck,2365.0,2150.0,0.1,2026-09-01,18,Andover,KS,1GDJ7H1P9WJ851562,150635,,,6.0L,Gas,,Tandem,Spring,Hydraulic,"25,950 lbs",,"1998 GMC C6500 box truck
- Miles: 150,635 on odometer
- VIN: 1GDJ7H1P9WJ851562
Engine- Displacement: 6.0L
- Cylinders: 8
- Fuel type: Gas
Transmission- Allison
- Automatic
Chassis- Axles: Tandem
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 25,950 lbs
Interior- AC, Heat
Features- Bed- Box bed
- Morgan GVFD08520096
- Serial: MPE98VBEP00149-059
- Length: 21'
- Width: 96""
- Height: 7' 4""
- Floor: Wood

Tires- Size: 11R22.5
Notes- Shelving included
- Possible transmission issues
- Unknown operating condition of  AC
Kansas title
Title distribution may be delayed up to 14 days from verification of funds.",6,57,images/MZ9828/MZ9828.JPG|images/MZ9828/MZ9828K.JPG|images/MZ9828/MZ9828V.JPG|images/MZ9828/MZ9828ZH.JPG|images/MZ9828/MZ9828ZS.JPG|images/MZ9828/MZ9828ZZD.JPG,Purple Wave,https://www.purplewave.com/auction/260901/item/MZ9828
FH6147,box_truck,1989,Ford,C8000,Box Truck,4070.0,3700.0,0.1,2026-09-01,35,Manhattan,KS,9BFXH81A8KDM00192,15530,,,,Diesel,,Tandem,Spring,Air,"33,000 lbs","256""","1989 Ford C8000 broadcasting truck
- Miles: 15,530 on odometer
- VIN: 9BFXH81A8KDM00192
Engine- Ford
- Cylinders: 6
- Fuel type: Diesel
Transmission- Manual
- Speed: 5
Chassis- Axles: Tandem
- Suspension: Spring
- Brakes: Air
- GVWR: 33,000 lbs
- Wheelbase: 256""
Interior- AC, Heat
- Auxiliary controls
Features- Bed- Box bed
- Model: K30965
- Serial: VA27096102
- Length: 27' 8""
- Width: 9'
- Height: 11' 6""

- Int Communication Center for Broadcasting- Broadcasting booth
- Monitoring systems- Analog monitors and cables only

- Sonex sound absorption
- (2) AC units
Tires- Size: 11R22.5
Notes- Passenger side mirror glass missing
Kansas title
Title distribution may be delayed up to 14 days from verification of funds.",6,138,images/FH6147/FH6147.JPG|images/FH6147/FH6147ZA.JPG|images/FH6147/FH6147ZZC.JPG|images/FH6147/FH6147ZZZD.JPG|images/FH6147/FH6147ZZZZF.JPG|images/FH6147/FH6147ZZZZZG.JPG,Purple Wave,https://www.purplewave.com/auction/260901/item/FH6147
FB4967,box_truck,2006,GMC,C6500,Box Truck,6270.0,5700.0,0.1,2026-08-26,33,Collinsville,OK,1GDJ6C1366F433076,94715,,,7.8L,Diesel,,Single,Spring,Hydraulic,"25,950 lbs",,"2006 GMC C6500 sewer inspection truck
- Miles: 94,715 on odometer
- VIN: 1GDJ6C1366F433076
Engine- Displacement: 7.8L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- PTO
- GVWR: 25,950 lbs
Interior- AC, Heat
- Cruise control
- Brake controller
Features- Bed- Box bed
- Supreme Corp
- Serial: IAHD16090096 70101295
- Length: 16' 8""
- Width: 97""
- Height: 91""
- Floor: Aluminum

- (4) hose reels
- (3) monitors
- Martin Diesel 155-DS generator:- Serial: 10307
- Kw: 15
- Phase: Single

- Yanmar 3TNV841 GGE- Cylinders: Three
- Fuel type: Diesel
- Displacement: 1.496L
- Serial: 32771

Tires- Size: 255/70R22.5
Oklahoma title
Title distribution may be delayed up to 30 days from verification of funds.",6,133,images/FB4967/FB4967.JPG|images/FB4967/FB4967Z.JPG|images/FB4967/FB4967ZZA.JPG|images/FB4967/FB4967ZZZA.JPG|images/FB4967/FB4967ZZZZB.JPG|images/FB4967/FB4967ZZZZZB.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/FB4967
MZ9765,box_truck,2015,Kenworth,K370,Box Truck,9460.0,8600.0,0.1,2026-08-26,40,Augusta,KS,3BKJHM6X3FF580661,165621,,,6.7L,Diesel,,Single,Spring,Air,"26,000 lbs",,"2015 Kenworth K370 box truck
- Miles: 165,621 on odometer
- VIN: 3BKJHM6X3FF580661
Engine- Paccar PX-7
- Serial: 73652735
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Model: 2100RDS
- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Air
- GVWR: 26,000 lbs
Interior- AC, Heat
- Heated mirrors
- Power windows
- Cruise control
- Backup camera
- Auxiliary controls
Features- Bed- Box bed
- Brown
- Length: 22' 6""
- Width: 96""
- Height: 8' 2""
- E-track rail system
- Floor: Wood
- End gate lift
- Maxon
- Capacity: 3,000 lbs

Tires- Size: 11R22.5
Notes- Dash warning indicator: ABS
- Windshield chipped or cracked
- AC may need recharged
Kansas title
Title distribution may be delayed up to 14 days from verification of funds.",6,72,images/MZ9765/MZ9765.JPG|images/MZ9765/MZ9765N.JPG|images/MZ9765/MZ9765ZB.JPG|images/MZ9765/MZ9765ZQ.JPG|images/MZ9765/MZ9765ZZE.JPG|images/MZ9765/MZ9765ZZS.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/MZ9765
FB4979,box_truck,2017,Chevrolet,Express 4500,Box Truck,9350.0,8500.0,0.1,2026-08-26,41,Collinsville,OK,1GB6GUCG2H1127591,153319,,,6.0L,Gas,,Single,Spring,Hydraulic,"14,200 lbs",,"2017 Chevrolet Express 4500 box truck
- Miles: 153,319 on odometer
- VIN: 1GB6GUCG2H1127591
Engine- Displacement: 6.0L
- Cylinders: 8
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 14,200 lbs
Interior- AC, Heat
- Power windows, Power locks
- Cruise control
Features- Bed- Box bed
- Mickey Truck Bodies CB14085
- Serial: 5950V16
- Length: 14' 6""
- Width: 96""
- Height: 91""
- Refrigeration unit

- Composite floor
Tires- Size: LT225/75R16
Oklahoma title
Title distribution may be delayed up to 30 days from verification of funds.",6,80,images/FB4979/FB4979.JPG|images/FB4979/FB4979P.JPG|images/FB4979/FB4979ZF.JPG|images/FB4979/FB4979ZU.JPG|images/FB4979/FB4979ZZK.JPG|images/FB4979/FB4979ZZZA.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/FB4979
EG9314,box_truck,2015,Chevrolet,Express 4500,Box Truck,8800.0,8000.0,0.1,2026-08-26,32,Collinsville,OK,1GB6G5CG1F1110851,143450,,,6.0L,Gas,,Single,Spring,Hydraulic,"14,200 lbs",,"2015 Chevrolet Express 4500 box truck
- Miles: 143,450 on odometer
- VIN: 1GB6G5CG1F1110851
Engine- Displacement: 6.0L
- Cylinders: 8
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 14,200 lbs
Interior- AC, Heat
- Power windows, Power locks
- Cruise control
Features- Bed- Box bed
- Mickey Truck Bodies CB14085
- Serial: 9599V14
- Length: 14' 6""
- Width: 96""
- Height: 7' 6""
- Refrigeration unit- High point

Tires- Size: LT225/75R16
Notes- Dash warning indicator: Airbag
Oklahoma title
Title distribution may be delayed up to 30 days from verification of funds.",6,80,images/EG9314/EG9314.JPG|images/EG9314/EG9314P.JPG|images/EG9314/EG9314ZF.JPG|images/EG9314/EG9314ZU.JPG|images/EG9314/EG9314ZZK.JPG|images/EG9314/EG9314ZZZA.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/EG9314
EW0466,box_truck,2009,Kenworth,T370,Box Truck,9240.0,8400.0,0.1,2026-08-26,47,Yukon,OK,2NKHHM7X09M255445,237307,6759,,6.7L,Diesel,,Single,Spring,Air,"33,000 lbs",,"2009 Kenworth T370 box truck
- Miles: 237,307 on odometer
- Hours: 6,759 on meter
- VIN: 2NKHHM7X09M255445
Engine- Paccar PX-6/PX-7
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Air
- GVWR: 33,000 lbs
Interior- AC, Heat
- Power windows, Power locks
- Cruise control
Features- Bed- Box bed
- Morgan GVSD09724102
- Serial: MPM08VB00230001
- Length: 25' 8""
- Width: 8' 6""
- Height: 8' 7""
- E-track rail system
- Floor: Steel
- Width: 94""
- End gate lift
- Waltco 375B
- Capacity: 5,000 lbs

Tires- Size: 1R22.5
Notes- Rear door damaged
- Possible AC issues, may need charged
- Windshield chipped or cracked
Oklahoma title
Seller is an Oklahoma licensed motor vehicle dealer. Buyers may be required to provide identification to the licensed dealer to comply with state laws. Title will be assigned and distributed by the dealer. Please contact the seller for distribution questions.
Title distribution may be delayed up to 30 days from verification of funds.",6,119,images/EW0466/EW0466.JPG|images/EW0466/EW0466X.JPG|images/EW0466/EW0466ZU.JPG|images/EW0466/EW0466ZZS.JPG|images/EW0466/EW0466ZZZP.JPG|images/EW0466/EW0466ZZZZN.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/EW0466
EW0468,box_truck,2017,Ford,E-350,Box Truck,4730.0,4300.0,0.1,2026-08-26,33,Yukon,OK,1FDWE3FS6HDC04775,47001,,,6.8L,Gas,,Single,Spring,Hydraulic,"12,500 lbs",,"2017 Ford E-350 box truck
- Miles: 47,001 on odometer
- VIN: 1FDWE3FS6HDC04775
Engine- Displacement: 6.8L
- Cylinders: 10
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 12,500 lbs
Interior- AC, Heat
- Cruise control
- Backup camera
Features- Bed- Box bed
- Smyrna Truck $ Cargo BAC14084094
- Serial: 019370
- Length: 15' 5""
- Width: 7' 11""
- Height: 7' 6""
- E-track rail system
- Floor: Wood
- Width: 89""
- End gate lift
- Tommy Lift

Tires- Size: 225/75R16
Notes- Dash warning indicator: Airbag
- Door jam issues
- Box bed damaged
- Non-operational backup camera monitor
- Sliding door issues, off of track
Oklahoma title
Seller is an Oklahoma licensed motor vehicle dealer. Buyers may be required to provide identification to the licensed dealer to comply with state laws. Title will be assigned and distributed by the dealer. Please contact the seller for distribution questions.
Title distribution may be delayed up to 30 days from verification of funds.",6,97,images/EW0468/EW0468.JPG|images/EW0468/EW0468S.JPG|images/EW0468/EW0468ZL.JPG|images/EW0468/EW0468ZZF.JPG|images/EW0468/EW0468ZZY.JPG|images/EW0468/EW0468ZZZR.JPG,Purple Wave,https://www.purplewave.com/auction/260826/item/EW0468
